Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
9495,PG,Jose Juan,Barea,17.6,24,4100,MIL@DAL,DAL,MIL,,
18828,SG,Joseph,Young,2.9,11,3500,ATL@IND,IND,ATL,,
9778,PF,Josh,McRoberts,10,20,3500,BKN@MIA,MIA,BKN,O,Knee
16233,SG,Josh,Richardson,3.9,13,3500,BKN@MIA,MIA,BKN,,
9449,PF,Josh,Smith,14.4,29,3500,LAC@WAS,LAC,WAS,,
9663,PG,Jrue,Holiday,22.3,24,5500,NO@ORL,NO,ORL,,
42669,PF,Julius,Randle,25.8,30,5600,LAL@CHA,LAL,CHA,,
16604,SG,Justin,Holiday,5.9,18,3500,ATL@IND,ATL,IND,,
23744,SF,Justin,Anderson,3.7,18,3500,MIL@DAL,DAL,MIL,,
58084,SF,Justise,Winslow,14.1,29,3500,BKN@MIA,MIA,BKN,,
58462,C,Karl-Anthony,Towns,32,30,7700,MIN@SA,MIN,SA,,
14513,SF,Kawhi,Leonard,38.9,30,8800,MIN@SA,SA,MIN,,
58153,SF,Kelly,Oubre,8.4,21,3700,LAC@WAS,WAS,LAC,,
14507,PG,Kemba,Walker,32.7,29,7900,LAL@CHA,CHA,LAL,,
15954,PG,Kendall,Marshall,11.4,7,3500,PHI@UTA,PHI,UTA,,
9463,C,Kendrick,Perkins,6.3,7,3500,NO@ORL,NO,ORL,,
19781,SG,Kent,Bazemore,23.5,27,5400,ATL@IND,ATL,IND,,
9874,PF,Kevin,Love,34.2,28,7500,CLE@PHO,CLE,PHO,,
9694,SG,Kevin,Martin,16.9,26,3900,MIN@SA,MIN,SA,,
9461,PF,Kevin,Garnett,13,26,3500,MIN@SA,MIN,SA,,
16261,SF,Khris,Middleton,26,31,6200,MIL@DAL,MIL,DAL,,
9478,SG,Kirk,Hinrich,8.4,19,3500,TOR@CHI,CHI,TOR,,
14509,SG,Klay,Thompson,28,27,7200,SAC@GS,GS,SAC,,
9566,SG,Kobe,Bryant,27.5,27,7200,LAL@CHA,LAL,CHA,,
9731,C,Kosta,Koufos,18.5,30,4200,SAC@GS,SAC,GS,,
9501,PF,Kris,Humphries,13.7,23,3600,LAC@WAS,WAS,LAC,,
9535,PG,Kyle,Lowry,38.4,31,8700,TOR@CHI,TOR,CHI,,
9870,SG,Kyle,Korver,18.6,30,4300,ATL@IND,ATL,IND,,
23716,SF,Kyle,Anderson,8.5,30,3500,MIN@SA,SA,MIN,,
14498,PG,Kyrie,Irving,17.3,3,7700,CLE@PHO,CLE,PHO,,
16089,SG,Lamar,Patterson,6.8,26,3500,ATL@IND,ATL,IND,,
9688,PF,LaMarcus,Aldridge,29.7,30,7200,MIN@SA,SA,MIN,,
12369,SG,Lance,Stephenson,10,29,3500,LAC@WAS,LAC,WAS,,
20992,PF,Larry,Nance Jr.,11.9,26,3500,LAL@CHA,LAL,CHA,,
14549,PF,Lavoy,Allen,14.2,28,3700,ATL@IND,IND,ATL,,
9674,SG,Leandro,Barbosa,11.1,25,3500,SAC@GS,GS,SAC,O,Shoulder
9488,SF,LeBron,James,44.6,27,10000,CLE@PHO,CLE,PHO,,
9662,SG,Louis,Williams,20.6,29,5400,LAL@CHA,LAL,CHA,GTD,Shoulder
9796,SF,Luc Richard,Mbah a Moute,5.4,29,3500,LAC@WAS,LAC,WAS,,
40200,C,Lucas,Nogueira,7.3,11,3500,TOR@CHI,TOR,CHI,,
9542,PF,Luis,Scola,19.7,31,4500,TOR@CHI,TOR,CHI,,
12349,SF,Luke,Babbitt,9.2,17,3500,NO@ORL,NO,ORL,,
9479,SF,Luol,Deng,19.5,23,4600,BKN@MIA,MIA,BKN,,
9704,SG,Manu,Ginobili,19.2,26,4500,MIN@SA,SA,MIN,,
