CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201945,Gerald Henderson,1610612757,POR,G,27.0,13,13,1.0,2.0,4.0,0.5,0.414,0.086
202682,Derrick Williams,1610612752,NYK,F,24.0,17,17,1.0,2.0,4.0,0.5,0.415,0.085
203894,Shabazz Napier,1610612753,ORL,G,24.0,17,17,1.0,1.53,3.94,0.388,0.409,-0.021
203101,Miles Plumlee,1610612749,MIL,C,27.0,12,12,1.0,2.0,3.83,0.522,0.431,0.091
1938,Manu Ginobili,1610612759,SAS,G,38.0,17,17,1.0,1.47,3.82,0.385,0.436,-0.051
203142,Chris Copeland,1610612749,MIL,F,31.0,13,13,1.0,2.0,3.69,0.542,0.402,0.14
2570,Kendrick Perkins,1610612740,NOP,C,31.0,3,3,1.0,2.67,3.67,0.727,0.547,0.18
204014,Damjan Rudez,1610612750,MIN,F,29.0,6,6,1.0,1.33,3.67,0.364,0.423,-0.059
202341,James Anderson,1610612758,SAC,G-F,26.0,9,9,1.0,1.78,3.67,0.485,0.446,0.039
202714,Shelvin Mack,1610612737,ATL,G,25.0,7,7,1.0,2.0,3.57,0.56,0.414,0.146
203098,John Jenkins,1610612742,DAL,G,24.0,7,7,1.0,1.29,3.57,0.36,0.423,-0.063
203900,Markel Brown,1610612751,BKN,G,23.0,7,7,1.0,2.0,3.57,0.56,0.409,0.151
2446,Rasual Butler,1610612759,SAS,F,36.0,14,14,1.0,1.29,3.5,0.367,0.399,-0.032
201580,JaVale McGee,1610612742,DAL,C,27.0,4,4,1.0,2.25,3.5,0.643,0.519,0.124
2617,Udonis Haslem,1610612748,MIA,F,35.0,4,4,1.0,1.5,3.5,0.429,0.431,-0.002
203123,Kostas Papanikolaou,1610612743,DEN,F,25.0,11,11,1.0,1.36,3.45,0.395,0.447,-0.052
202407,Elijah Millsap,1610612762,UTA,G-F,28.0,7,7,1.0,1.14,3.43,0.333,0.424,-0.091
204060,Joe Ingles,1610612762,UTA,F,28.0,17,17,1.0,1.35,3.35,0.404,0.424,-0.021
2406,Caron Butler,1610612758,SAC,F,35.0,6,6,1.0,2.0,3.33,0.6,0.453,0.147
2571,Leandro Barbosa,1610612744,GSW,G,33.0,18,18,1.0,1.5,3.33,0.45,0.442,0.008
2034,Mike Miller,1610612743,DEN,G-F,35.0,11,11,1.0,1.55,3.27,0.472,0.424,0.048
1626166,Cameron Payne,1610612760,OKC,G,21.0,4,4,1.0,2.25,3.25,0.692,0.41,0.283
203461,Anthony Bennett,1610612761,TOR,F,22.0,4,4,1.0,2.25,3.25,0.692,0.416,0.276
1626147,Justin Anderson,1610612742,DAL,G-F,22.0,11,11,1.0,1.45,3.09,0.471,0.392,0.079
203893,Russ Smith,1610612763,MEM,G,24.0,5,5,1.0,1.8,3.0,0.6,0.486,0.114
201574,Jason Thompson,1610612744,GSW,F-C,29.0,9,9,1.0,1.44,3.0,0.481,0.452,0.03
2405,Amar'e Stoudemire,1610612748,MIA,F-C,33.0,2,2,1.0,1.5,3.0,0.5,0.47,0.03
1626151,Aaron Harrison,1610612766,CHA,G,21.0,1,1,1.0,0.0,3.0,0.0,0.469,-0.469
203508,Sergey Karasev,1610612751,BKN,G-F,22.0,8,8,1.0,1.75,3.0,0.583,0.444,0.14
203956,Mitch McGary,1610612760,OKC,F,23.0,5,5,1.0,1.4,3.0,0.467,0.438,0.029
203946,Cameron Bairstow,1610612741,CHI,F-C,24.0,2,2,1.0,1.0,3.0,0.333,0.404,-0.071
1626155,Sam Dekker,1610612745,HOU,F,21.0,1,1,1.0,1.0,3.0,0.333,0.451,-0.117
1626199,Darrun Hilliard,1610612765,DET,F,22.0,1,1,1.0,1.0,3.0,0.333,0.425,-0.092
2588,Matt Bonner,1610612759,SAS,C-F,35.0,3,3,1.0,0.67,3.0,0.222,0.359,-0.137
1626154,RJ Hunter,1610612738,BOS,G,22.0,10,10,1.0,1.5,2.9,0.517,0.392,0.125
203148,Brian Roberts,1610612766,CHA,G,30.0,7,7,1.0,1.14,2.86,0.4,0.424,-0.024
1626181,Norman Powell,1610612761,TOR,G,22.0,6,6,1.0,1.33,2.83,0.471,0.396,0.074
203546,Ian Clark,1610612744,GSW,G,24.0,12,12,1.0,1.25,2.83,0.441,0.438,0.004
2592,James Jones,1610612739,CLE,G-F,35.0,18,18,1.0,1.17,2.78,0.42,0.442,-0.022
203187,Chris Johnson,1610612762,UTA,F,25.0,7,7,1.0,1.0,2.71,0.368,0.44,-0.072
201946,Tyler Hansbrough,1610612766,CHA,F,30.0,6,6,1.0,1.67,2.67,0.625,0.463,0.162
203919,Jordan Adams,1610612763,MEM,G,21.0,2,2,1.0,1.5,2.5,0.6,0.462,0.138
201975,Jodie Meeks,1610612765,DET,G,28.0,2,2,1.0,0.0,2.5,0.0,0.473,-0.473
203552,Seth Curry,1610612758,SAC,G,25.0,7,7,1.0,1.29,2.43,0.529,0.464,0.066
1626179,Terry Rozier,1610612738,BOS,G,21.0,10,10,1.0,1.2,2.4,0.5,0.427,0.073
2365,Chris Andersen,1610612748,MIA,F-C,37.0,3,3,1.0,0.67,2.33,0.286,0.464,-0.179
202332,Cole Aldrich,1610612746,LAC,C,27.0,3,3,1.0,1.67,2.33,0.714,0.394,0.32
1626173,Rashad Vaughn,1610612749,MIL,G,19.0,13,13,1.0,1.0,2.31,0.433,0.39,0.043
203909,KJ McDaniels,1610612745,HOU,G-F,22.0,4,4,1.0,0.75,2.25,0.333,0.422,-0.088
1626202,Joe Young,1610612754,IND,G,23.0,4,4,1.0,1.5,2.25,0.667,0.483,0.183
203949,James Michael McAdoo,1610612744,GSW,F,22.0,10,10,1.0,1.1,2.2,0.5,0.395,0.105
204002,Walter Tavares,1610612737,ATL,C,23.0,1,1,1.0,2.0,2.0,1.0,0.42,0.58
201603,Sonny Weems,1610612756,PHX,G-F,29.0,8,8,1.0,0.88,2.0,0.438,0.41,0.028
203100,Tony Wroten,1610612755,PHI,G,22.0,1,1,1.0,1.0,2.0,0.5,0.383,0.117
