PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS
203493,Reggie Bullock,1610612765,DET,24.0,2,2,0,1.0,2.6,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,5,"203493,1610612765"
202704,Reggie Jackson,1610612765,DET,25.0,3,2,1,0.667,29.5,8.0,18.3,0.436,1.3,4.3,0.308,2.7,2.7,1.0,1.0,2.7,3.7,6.7,2.0,1.0,0.0,1.0,1.7,2.3,20.0,17.7,0,0,5,"202704,1610612765"
2210,Richard Jefferson,1610612739,CLE,35.0,3,2,1,0.667,23.6,3.3,8.3,0.4,0.7,3.7,0.182,1.3,3.0,0.444,0.0,2.0,2.0,1.3,1.3,1.0,0.0,1.0,1.7,2.0,8.7,-2.7,0,0,5,"2210,1610612739"
1626158,Richaun Holmes,1610612755,PHI,22.0,3,0,3,0.0,8.7,2.3,3.0,0.778,0.3,0.3,1.0,1.3,1.3,1.0,0.3,0.3,0.7,0.7,0.3,0.3,0.0,0.0,1.3,1.0,6.3,-5.3,0,0,5,"1626158,1610612755"
201937,Ricky Rubio,1610612750,MIN,25.0,3,1,2,0.333,28.6,1.3,5.0,0.267,0.7,1.7,0.4,3.0,4.0,0.75,1.0,4.3,5.3,8.7,2.7,1.3,0.0,0.7,3.0,3.3,6.3,3.3,0,0,5,"201937,1610612750"
203496,Robert Covington,1610612755,PHI,25.0,3,0,3,0.0,30.8,4.3,13.3,0.325,2.7,9.0,0.296,1.7,1.7,1.0,1.3,5.3,6.7,0.7,1.7,1.3,1.3,0.7,4.7,2.3,13.0,-3.0,0,0,5,"203496,1610612755"
203135,Robert Sacre,1610612747,LAL,26.0,3,0,3,0.0,18.0,2.3,5.3,0.438,0.0,0.0,0.0,1.3,2.7,0.5,1.3,1.3,2.7,0.7,0.3,0.0,0.7,0.3,2.7,2.0,6.0,-10.0,0,0,5,"203135,1610612747"
201577,Robin Lopez,1610612752,NYK,27.0,3,1,2,0.333,22.5,2.7,4.7,0.571,0.0,0.0,0.0,2.0,2.7,0.75,2.0,2.7,4.7,0.7,0.7,0.0,0.3,0.0,3.0,2.0,7.3,-13.3,0,0,5,"201577,1610612752"
203918,Rodney Hood,1610612762,UTA,23.0,3,1,2,0.333,33.3,4.7,12.0,0.389,1.7,6.3,0.263,1.3,1.7,0.8,1.0,3.0,4.0,1.7,2.3,0.7,0.0,0.0,2.3,2.0,12.3,2.7,0,0,5,"203918,1610612762"
201155,Rodney Stuckey,1610612754,IND,29.0,3,2,1,0.667,26.2,4.0,8.7,0.462,0.0,0.7,0.0,0.7,0.7,1.0,0.3,2.7,3.0,2.0,1.7,0.3,0.0,0.7,1.3,1.0,8.7,13.7,0,0,5,"201155,1610612754"
101179,Ronnie Price,1610612756,PHX,32.0,3,2,1,0.667,14.4,1.3,3.3,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.7,0.7,1.3,1.0,1.3,0.3,0.3,1.7,0.7,3.7,7.3,0,0,5,"101179,1610612756"
201579,Roy Hibbert,1610612747,LAL,29.0,3,0,3,0.0,29.1,3.3,7.7,0.435,0.0,0.0,0.0,0.7,0.7,1.0,2.0,4.7,6.7,0.7,0.7,0.3,2.0,0.7,3.0,0.7,7.3,-8.7,0,0,5,"201579,1610612747"
200752,Rudy Gay,1610612758,SAC,29.0,3,2,1,0.667,36.9,7.3,15.7,0.468,1.3,4.3,0.308,1.7,1.7,1.0,2.3,4.0,6.3,2.0,2.3,1.3,1.3,0.3,2.7,3.0,17.7,3.7,0,0,5,"200752,1610612758"
203893,Russ Smith,1610612763,MEM,24.0,1,0,1,0.0,7.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,-6.0,0,0,5,"203893,1610612763"
201566,Russell Westbrook,1610612760,OKC,27.0,3,3,0,1.0,38.0,8.3,20.3,0.41,1.7,4.0,0.417,5.7,7.0,0.81,1.7,6.3,8.0,7.3,2.0,2.3,0.7,0.7,2.0,4.7,24.0,14.0,2,0,5,"201566,1610612760"
201583,Ryan Anderson,1610612740,NOP,27.0,1,0,1,0.0,33.6,7.0,17.0,0.412,1.0,2.0,0.5,3.0,4.0,0.75,5.0,4.0,9.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,18.0,-11.0,0,0,5,"201583,1610612740"
200797,Ryan Hollins,1610612764,WAS,31.0,1,0,1,0.0,5.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,0,0,5,"200797,1610612764"
203527,Ryan Kelly,1610612747,LAL,24.0,1,0,1,0.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,-6.0,0,0,5,"203527,1610612747"
201619,Sasha Kaun,1610612739,CLE,30.0,2,1,1,0.5,7.3,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,2.0,7.5,0,0,5,"201619,1610612739"
2756,Sasha Vujacic,1610612752,NYK,31.0,3,1,2,0.333,17.0,2.3,4.3,0.538,1.3,2.7,0.5,0.7,1.3,0.5,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.7,2.0,6.7,8.7,0,0,5,"2756,1610612752"
201586,Serge Ibaka,1610612760,OKC,26.0,3,3,0,1.0,35.5,5.0,10.7,0.469,0.7,1.7,0.4,2.0,2.0,1.0,1.3,7.0,8.3,0.7,1.7,0.7,3.0,0.3,2.7,1.0,12.7,13.7,1,0,5,"201586,1610612760"
203508,Sergey Karasev,1610612751,BKN,22.0,1,0,1,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,"203508,1610612751"
203498,Shabazz Muhammad,1610612750,MIN,23.0,3,1,2,0.333,17.9,3.7,5.3,0.688,0.3,0.7,0.5,2.7,3.0,0.889,0.7,3.3,4.0,0.3,1.3,0.3,0.3,0.0,1.3,2.3,10.3,1.3,0,0,5,"203498,1610612750"
203894,Shabazz Napier,1610612753,ORL,24.0,3,1,2,0.333,12.7,1.0,3.7,0.273,0.7,2.0,0.333,0.7,1.3,0.5,0.0,0.0,0.0,3.7,1.7,1.0,0.0,0.0,1.0,1.0,3.3,-2.3,0,0,5,"203894,1610612753"
203499,Shane Larkin,1610612751,BKN,23.0,3,1,2,0.333,17.3,2.3,5.3,0.438,0.0,0.7,0.0,1.3,1.3,1.0,0.3,2.7,3.0,4.3,1.3,1.0,0.0,0.7,2.7,2.7,6.0,1.7,0,0,5,"203499,1610612751"
2733,Shaun Livingston,1610612744,GSW,30.0,3,2,1,0.667,27.2,3.3,6.0,0.556,0.0,0.3,0.0,1.3,1.3,1.0,1.3,0.7,2.0,1.7,0.3,0.7,0.7,0.0,1.3,1.7,8.0,-11.7,0,0,5,"2733,1610612744"
202714,Shelvin Mack,1610612737,ATL,25.0,1,0,1,0.0,7.2,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-3.0,0,0,5,"202714,1610612737"
203524,Solomon Hill,1610612754,IND,24.0,2,1,1,0.5,4.5,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,-3.0,0,0,5,"203524,1610612754"
203915,Spencer Dinwiddie,1610612765,DET,22.0,1,1,0,1.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,5,"203915,1610612765"
201150,Spencer Hawes,1610612766,CHA,27.0,3,2,1,0.667,18.2,2.0,4.0,0.5,1.0,1.3,0.75,2.7,2.7,1.0,0.3,4.0,4.3,1.3,1.7,0.0,0.0,0.3,2.3,2.3,7.7,16.3,0,0,5,"201150,1610612766"
1626169,Stanley Johnson,1610612765,DET,19.0,3,2,1,0.667,19.4,2.7,6.7,0.4,0.3,2.3,0.143,0.7,0.7,1.0,0.0,2.7,2.7,0.7,2.3,1.0,0.3,0.0,2.3,0.7,6.3,-2.0,0,0,5,"1626169,1610612765"
201939,Stephen Curry,1610612744,GSW,27.0,3,2,1,0.667,39.3,10.0,23.7,0.423,3.7,10.3,0.355,8.0,9.0,0.889,1.7,6.7,8.3,7.7,4.7,2.0,0.0,1.3,2.3,7.3,31.7,11.0,2,0,5,"201939,1610612744"
2581,Steve Blake,1610612765,DET,35.0,3,2,1,0.667,17.4,3.0,5.3,0.563,1.7,3.3,0.5,0.3,0.7,0.5,0.0,1.7,1.7,3.0,1.0,0.0,0.0,0.3,2.7,0.3,8.0,-5.7,0,0,5,"2581,1610612765"
203500,Steven Adams,1610612760,OKC,22.0,3,3,0,1.0,29.1,3.3,5.7,0.588,0.0,0.0,0.0,1.3,2.0,0.667,2.0,4.0,6.0,0.3,0.3,0.3,0.7,0.3,2.3,1.3,8.0,8.7,0,0,5,"203500,1610612760"
204456,TJ McConnell,1610612755,PHI,23.0,3,0,3,0.0,20.5,3.3,7.3,0.455,1.0,2.0,0.5,0.7,0.7,1.0,1.3,3.3,4.7,3.7,2.3,1.3,0.0,0.3,1.7,1.3,8.3,-1.0,0,0,5,"204456,1610612755"
203933,TJ Warren,1610612756,PHX,22.0,3,2,1,0.667,14.1,1.7,5.3,0.313,0.0,0.7,0.0,0.7,1.3,0.5,1.3,1.3,2.7,0.3,0.0,0.3,0.3,0.3,0.7,0.7,4.0,-7.7,0,0,5,"203933,1610612756"
201959,Taj Gibson,1610612741,CHI,30.0,3,2,1,0.667,21.9,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.7,4.3,7.0,1.0,0.3,0.3,0.0,1.0,0.7,1.3,8.0,-1.0,0,0,5,"201959,1610612741"
2419,Tayshaun Prince,1610612750,MIN,35.0,3,1,2,0.333,18.9,0.0,1.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.3,2.0,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,-2.0,0,0,5,"2419,1610612750"
203093,Terrence Jones,1610612745,HOU,23.0,3,2,1,0.667,19.9,2.3,7.3,0.318,0.7,1.3,0.5,0.7,0.7,1.0,1.3,3.7,5.0,1.0,0.7,0.3,1.3,1.0,1.3,0.3,6.0,1.3,0,0,5,"203093,1610612745"
203082,Terrence Ross,1610612761,TOR,24.0,3,2,1,0.667,30.1,2.3,8.0,0.292,1.0,4.0,0.25,0.0,0.0,0.0,0.3,2.3,2.7,1.7,0.7,1.0,1.0,0.3,0.7,0.0,5.7,-0.7,0,0,5,"203082,1610612761"
200757,Thabo Sefolosha,1610612737,ATL,31.0,3,1,2,0.333,26.8,3.3,6.7,0.5,0.7,1.7,0.4,0.3,1.3,0.25,0.7,2.7,3.3,1.7,1.0,1.3,0.7,0.0,1.0,1.0,7.7,-10.3,0,0,5,"200757,1610612737"
201152,Thaddeus Young,1610612751,BKN,27.0,3,1,2,0.333,34.3,6.7,13.3,0.5,0.0,0.3,0.0,2.0,3.0,0.667,1.7,7.3,9.0,0.7,2.0,1.3,0.0,0.3,2.7,3.0,15.3,-9.7,2,0,5,"201152,1610612751"
203080,Thomas Robinson,1610612751,BKN,24.0,3,1,2,0.333,3.6,0.3,1.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.3,0.7,0.0,0.7,-0.3,0,0,5,"203080,1610612751"
201168,Tiago Splitter,1610612737,ATL,30.0,2,1,1,0.5,13.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,3.5,1.0,1.5,2.0,0.0,0.0,1.0,0.5,4.0,2.0,0,0,5,"201168,1610612737"
1495,Tim Duncan,1610612759,SAS,39.0,3,2,1,0.667,23.8,2.7,6.3,0.421,0.0,0.0,0.0,0.3,1.3,0.25,0.7,4.7,5.3,2.7,2.3,0.7,0.3,1.0,1.0,1.7,5.7,9.7,0,0,5,"1495,1610612759"
204025,Tim Frazier,1610612757,POR,25.0,1,0,1,0.0,4.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,0,0,5,"204025,1610612757"
202389,Timofey Mozgov,1610612739,CLE,29.0,3,2,1,0.667,16.0,4.0,5.0,0.8,0.0,0.0,0.0,0.3,0.3,1.0,0.7,2.0,2.7,0.3,1.0,0.7,0.0,0.0,1.3,1.3,8.3,-4.3,0,0,5,"202389,1610612739"
202699,Tobias Harris,1610612753,ORL,23.0,3,1,2,0.333,25.1,4.3,9.7,0.448,0.7,3.7,0.182,1.0,1.3,0.75,0.0,4.7,4.7,2.0,1.7,1.3,0.0,0.3,1.0,1.7,10.3,-3.7,0,0,5,"202699,1610612753"
2754,Tony Allen,1610612763,MEM,33.0,2,1,1,0.5,26.0,3.5,8.5,0.412,0.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,4.5,1.0,1.5,1.0,0.5,1.5,3.0,0.5,7.0,-4.5,0,0,5,"2754,1610612763"
2225,Tony Parker,1610612759,SAS,33.0,2,1,1,0.5,27.1,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,3.5,3.5,1.0,1.5,0.5,0.0,2.0,1.0,6.0,7.5,0,0,5,"2225,1610612759"
203503,Tony Snell,1610612741,CHI,24.0,3,2,1,0.667,20.0,0.3,3.3,0.1,0.0,1.7,0.0,0.0,0.0,0.0,0.7,1.7,2.3,1.3,2.3,1.0,0.3,0.0,1.7,0.0,0.7,-5.7,0,0,5,"203503,1610612741"
203100,Tony Wroten,1610612755,PHI,22.0,1,0,1,0.0,16.9,3.0,5.0,0.6,0.0,1.0,0.0,3.0,6.0,0.5,1.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,9.0,-3.0,0,0,5,"203100,1610612755"
2772,Trevor Ariza,1610612745,HOU,30.0,2,1,1,0.5,16.0,1.0,5.0,0.2,0.5,3.5,0.143,1.0,1.0,1.0,0.0,2.5,2.5,3.0,1.0,1.5,0.0,0.5,1.0,0.5,3.5,1.0,0,0,5,"2772,1610612745"
202344,Trevor Booker,1610612762,UTA,28.0,3,1,2,0.333,23.9,3.0,4.3,0.692,0.0,0.0,0.0,0.7,1.7,0.4,2.3,3.3,5.7,1.3,0.7,0.7,0.3,0.0,3.7,1.0,6.7,4.7,0,0,5,"202344,1610612762"
203504,Trey Burke,1610612762,UTA,23.0,3,1,2,0.333,23.6,5.3,11.0,0.485,2.3,5.0,0.467,0.7,1.0,0.667,0.3,1.3,1.7,3.7,1.0,0.7,0.0,0.7,1.3,1.3,13.7,5.7,0,0,5,"203504,1610612762"
1626168,Trey Lyles,1610612762,UTA,20.0,3,1,2,0.333,24.5,0.7,4.3,0.154,0.0,0.3,0.0,0.7,0.7,1.0,1.7,4.7,6.3,1.3,0.7,0.3,0.7,0.0,3.0,0.7,2.0,-1.7,0,0,5,"1626168,1610612762"
202684,Tristan Thompson,1610612739,CLE,24.0,3,2,1,0.667,20.4,1.7,3.3,0.5,0.0,0.0,0.0,0.0,0.7,0.0,1.3,4.7,6.0,0.0,0.3,0.7,0.0,0.0,2.0,1.3,3.3,1.0,0,0,5,"202684,1610612739"
203584,Troy Daniels,1610612766,CHA,24.0,2,2,0,1.0,6.2,1.5,3.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,4.0,-6.5,0,0,5,"203584,1610612766"
201951,Ty Lawson,1610612745,HOU,28.0,3,2,1,0.667,22.0,0.7,3.0,0.222,0.3,1.0,0.333,0.7,0.7,1.0,0.0,1.0,1.0,5.0,1.0,1.3,0.3,1.0,0.7,1.0,2.3,11.3,0,0,5,"201951,1610612745"
201946,Tyler Hansbrough,1610612766,CHA,30.0,2,2,0,1.0,8.2,1.5,3.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.5,0.5,0.5,0.0,0.5,0.5,2.0,0.5,4.0,-5.0,0,0,5,"201946,1610612766"
204020,Tyler Johnson,1610612748,MIA,23.0,1,0,1,0.0,29.1,6.0,12.0,0.5,1.0,5.0,0.2,7.0,8.0,0.875,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,20.0,0.0,0,0,5,"204020,1610612748"
201936,Tyreke Evans,1610612740,NOP,26.0,3,1,2,0.333,29.1,6.7,15.0,0.444,2.3,4.0,0.583,0.7,1.3,0.5,0.7,3.3,4.0,5.0,3.0,1.0,0.0,1.3,2.3,1.7,16.3,-6.3,0,0,5,"201936,1610612740"
2199,Tyson Chandler,1610612756,PHX,33.0,1,1,0,1.0,23.3,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,10.0,0,0,5,"2199,1610612756"
